isbn	title	author	rating_count	rating_calc	rating_eb
0064440508	A Kiss for Little Bear	Else Holmelund Minarik, Maurice Sendak (Illustrator)	12886	4.3123544932484865	4.311397721263949
0064440516	Little Bear's Friend	Else Holmelund Minarik, Maurice Sendak (Illustrator)	13671	4.3138760880696365	4.312968389287533
0064440559	Arthur's Christmas Cookies	Lillian Hoban	121	3.834710743801653	3.904497743057777
0064440583	Days with Frog and Toad	Arnold Lobel	21689	4.25376919175619	4.253337412976432
0064440591	Frog and Toad All Year	Arnold Lobel	33336	4.357301415886729	4.3568619504893995
0064440958	Chester	Syd Hoff	247	3.7611336032388665	3.8140212958318434
0064441555	Amelia Bedelia	Peggy Parish, Fritz Siebel (Illustrations)	82084	4.166378344135276	4.1663183772027015
0064441768	Captain Cat	Syd Hoff	124	3.6451612903225805	3.7690325730186403
0064442128	Biscuit	Alyssa Satin Capucilli (Author), Pat Schories (Author) (Illustrator)	4959	4.236741278483565	4.235041180737071
0064442373	Happy Birthday, Danny and the Dinosaur!	Syd Hoff	351	3.7948717948717947	3.8297948278056437
0064450651	The Moon Seems to Change	Franklyn Mansfield Branley, Barbara Emberley (Illustrations), Helen Borten (Illustrator), Ed Emberley (Illustrator)	185	3.9567567567567568	3.9812271050691987
0064450783	Digging Up Dinosaurs	Aliki	349	3.7363896848137537	3.7789504532658507
0064461866	My Visit to the Aquarium	Aliki	88	3.7386363636363638	3.8602584655407317
006446234X	Pioneer Girl: The Story of Laura Ingalls Wilder	William Anderson, Dan Andreasen (Illustrator)	470	4.148936170212766	4.141192372955569
0064471047	The Lion, the Witch and the Wardrobe	C.S. Lewis	2055091	4.216771422773979	4.216767774329795
0064471276	What Hearts	Bruce Brooks	871	3.6257175660160734	3.6503111850329577
0064472051	The Hounds of the Morrigan	Pat O'Shea	3373	4.038244885858286	4.038716877492638
0066236207	Superdog: The Heart of a Hero	Caralyn Buehner, Mark Buehner (Illustrations)	579	4.127806563039724	4.123114559152056
0066237785	Dear Santa: The Letters of James B. Dobbins	Bill Harley (Author), R.W. Alley (Author) (Illustrator)	77	4	4.027868407824796
0066238277	Santa's Snow Cat	Sue Stainton, Anne Mortimer (Illustrator)	118	3.8559322033898304	3.9205489461316523
0066238803	Hungry Hen	Richard Waring, Caroline Jayne Church (Illustrator)	419	3.983293556085919	3.9926999924589506
0070705208	Danny Dunn and the Homework Machine	Jay Williams, Raymond Abrashkin	402	3.843283582089552	3.8688200413012104
0091742501	The Whales' Song	Dyan Sheldon	427	4.344262295081967	4.314962622283465
0091768179	Falling Angels	Colin Thompson	62	4.338709677419355	4.217320732290719
0091768829	Little Bear's Dragon and Other Stories	Jane Hissey (Author)	20	4.7	4.247263041699141
0099182211	Amazon Adventure	Willard Price	999	3.911911911911912	3.919593163723218
0099256053	Alfie Gets in First	Shirley Hughes (Author)	1521	4.27284681130835	4.26625615910286
0099265435	Little Bear's Trousers	Jane Hissey (Author)	1099	4.165605095541402	4.1613566705866765
0099266148	Pass the Jam, Jim (Big Book)	Kaye Umansky	74	4.202702702702703	4.148486756938836
0099363712	Jolly Tall	Jane Hissey (Author)	146	4.363013698630137	4.287074074988351
0099400529	Mrs Armitage on Wheels	Quentin Blake	272	4.1838235294117645	4.165820240278377
0099408392	Where the Wild Things Are	Maurice Sendak	788702	4.219115711637602	4.219106053668675
0099411393	Mrs. Pepperpot Stories	Alf Prøysen, Björn Berg (Illustrator)	555	4.167567567567567	4.15934039056165
0099413124	Emil and the Detectives	Erich Kästner, Walter Trier	7662	3.974419211694075	3.9750512018620765
0099417472	In the Night Kitchen	Maurice Sendak	15795	4.040772396327952	4.040866242336564
0099417936	How To Speak Moo!	Deborah Fajerman (Author)	82	4.085365853658536	4.079432015322345
0099432447	A Birthday for Frances	Russell Hoban, Lillian Hoban (Illustrator)	2545	4.2385068762278975	4.235191181680911
0099434083	Granpa	John Burningham (Author)	210	3.942857142857143	3.967702316117248
0099439646	Quentin Blake's ABC	Quentin Blake	48	3.7083333333333335	3.8946881324489406
0099461811	How to Live Forever	Colin Thompson	702	4.193732193732194	4.185337206304911
0099488043	Tiger Ways	Kes Gray, Nick Sharratt (Illustrator)	40	3.975	4.028210311108079
0099571803	Sorry Miss	Jo Furtado, Frédéric Joos	8	4.125	4.077365528317449
009967260X	I Want a Cat	Tony Ross	59	3.6271186440677967	3.832521619030351
009972541X	Not Now, Bernard	David McKee	2261	4.180451127819549	4.178010077748061
0099725614	Nursery Rhymes Mini Treasure	Quentin Blake	7	4.285714285714286	4.095924052770474
0099725711	Slobcat Mini Treasure	Paul Geraghty	67	4.119402985074627	4.09799564966479
0099916509	Moving Molly	Shirley Hughes (Author)	78	4.141025641025641	4.112889204084662
0099983206	The Patchwork Cat	William Mayne, Nicola Bayley (Illustrator)	176	4.386363636363637	4.31520757988381
013218933X	Dracula's Cat	Jan Wahl, Kay Chorao	11	3.909090909090909	4.041394329548849
013510355X	Joey	Jack Kent	48	3.9375	4.005740546302603
0135377463	Little Peep	Jack Kent	58	4.293103448275862	4.1886123391747665
0138099472	Silly Goose	Jack Kent	14	4.714285714285714	4.208580001910314
0139584307	Who Said There's No Man on the Moon?: A Story of Jules Verne	Robert M. Quackenbush	5	4.6	4.117187186193643
0139615733	Witch Bazooza	Dennis Nolan	10	4.1	4.074831127673066
0140019421	Jennie	Paul Gallico, Bob Haberfield (Illustrator)	1459	4.302261823166552	4.294406098748766
0140146539	Hey! Listen to This: Stories to Read Aloud	Jim Trelease (Editor)	170	4.247058823529412	4.2061440162522485
014030133X	The Good Master	Kate Seredy	3943	4.118691351762617	4.118067710653913
0140301704	Auntie Robbo	Ann Scott-Moncrieff	21	4.333333333333333	4.146679710756643
014030214X	The Children's Crusade	Henry Treece	67	3.701492537313433	3.860812692450728
0140303499	Smith	Leon Garfield, Antony Maitland (Illustrator )	785	3.743949044585987	3.763852836504561
0140303901	The Winter Princess	Mary Treadgold, Pearl Falconer (Illustrator)	4	3.75	4.046657691211498
014030472X	A Handful Of Thieves	Nina Bawden	47	3.9148936170212765	3.995600455953523
014030567X	The Amazing Mr Blunden	Antonia Barber	480	4.2	4.18749303868093
014030844X	The Midnight Fox	Betsy Byars	973	3.7307297019527237	3.7476384958632667
0140308512	The Night Watchmen	Helen Cresswell, Gareth Floyd (Illustrator)	31	3.774193548387097	3.9581805213731394
0140309314	A Traveller in Time	Alison Uttley	2281	4.089872862779482	4.089435649476292
0140312455	Mr Tick the Teacher	Allan Ahlberg, Faith Jaques (Illustrator)	59	3.864406779661017	3.9597338315699186
0140315047	The Revenge of Samuel Stokes	Penelope Lively, Martin J. Cottam (Illustrator)	37	3.6486486486486487	3.892888855261835
0140319298	Mara, Daughter of the Nile	Eloise Jarvis McGraw	9692	4.2347296739579035	4.233865993737721
0140319727	Bagthorpes Abroad: Being the Fifth Part of the Bagthorpe Saga	Helen Cresswell	145	4.124137931034483	4.110014580342188
0140319891	Dorrie and the Goblin	Patricia Coombs	181	4.397790055248619	4.325653336377481
0140323627	The Downhill Crocodile Whizz and Other Stories	Margaret Mahy	41	4.097560975609756	4.082220783807217
0140328580	Red Sails to Capri	Ann Weil	3368	3.9667458432304037	3.96828612868017
0140342176	Jim Hedgehog's Supernatural Christmas	Russell Hoban	28	3.0357142857142856	3.703596510690031
0140344438	Nothing's Fair in Fifth Grade	Barthe DeClements	11746	3.950451217435723	3.950968142761211
0140345434	The Singing Tree	Kate Seredy	2361	4.07708598051673	4.076933909102829
014034912X	The Perilous Gard	Elizabeth Marie Pope	8020	4.0923940149625935	4.092251739217131
0140363254	The Haunting	Margaret Mahy	1080	3.8555555555555556	3.8652304743946546
0140364501	Stig of the Dump	Clive King	9293	3.9365113526310127	3.9372401432467528
0140364633	Clever Polly and the Stupid Wolf	Catherine Storr	410	4.058536585365854	4.059794979572811
0140364803	Colt	Nancy Springer (Author)	75	3.8133333333333335	3.9172455932576407
0140365990	The Changeover	Margaret Mahy	3593	4.061508488728083	4.061626067444543
0140367063	The Story of the Treasure Seekers	E. Nesbit, Cecil Leslie (Illustrator)	5454	3.941694169416942	3.9428831250168788
014036739X	The Phoenix and the Carpet	E. Nesbit, H.R. Millar (Illustrator)	8615	4.053859547301219	4.053954049298504
0140367438	The Enchanted Castle	E. Nesbit, H.R. Millar (Illustrator)	7463	3.8464424494171245	3.847960682754193
0140367519	The Wouldbegoods	E. Nesbit, Cecil Leslie (Illustrations)	1886	3.946977730646872	3.950217459697948
0140367527	The Story of the Amulet	E. Nesbit	4091	3.983622586164752	3.984686000918164
0140367543	The Lost Prince	Frances Hodgson Burnett	2541	3.824478551751279	3.8293123248556142
0140368507	Beat the Turtle Drum	Constance C. Greene, Donna Diamond (Illustrator)	291	4.106529209621993	4.101062357278201
0140376410	The Ear, the Eye, and the Arm	Nancy Farmer (Author)	15250	3.861114754098361	3.8618113747762393
014037857X	Cat Games: Level 1	Harriet Ziefert, Claire Schumacher (Illustrator)	13	3.3076923076923075	3.9152039310049696
0140380736	The Arkadians	Lloyd Alexander	3298	3.8884172225591267	3.891183729019711
0140380841	Spring Begins in March	Jean Little	129	3.8372093023255816	3.90318711326184
0140381872	The Secret Garden / A Little Princess	Frances Hodgson Burnett	2116	4.4220226843100185	4.413727256762531
0140384308	Moki	Grace Jackson Penney	26	3.8461538461538463	3.99440139515038
0140388044	The Knight and the Squire	Terry Jones	130	3.6769230769230767	3.787733269219963
0140500340	The Cow Who Fell in the Canal	Phyllis Krasilovsky, Peter Spier	508	3.9507874015748032	3.9616647950471546
0140501177	Meg and Mog	Helen Nicoll, Jan Pieńkowski (Illustrator)	7301	4.046979865771812	4.047139029900663
0140501746	One Morning in Maine	Robert McCloskey	12361	4.369225790793625	4.367994630877451
0140501789	Play with Me	Marie Hall Ets	470	3.9446808510638296	3.956949840979437
0140501800	In the Forest	Marie Hall Ets	459	3.840958605664488	3.863873995138644
0140501827	The Snowy Day	Ezra Jack Keats	100605	4.157576661199742	4.15753219252998
0140501878	Father Christmas Goes on Holiday	Raymond Briggs	327	4.204892966360856	4.1866636162451805
0140501975	Beady Bear	Don Freeman	168	3.886904761904762	3.929553884455468
0140502017	Time of Wonder	Robert McCloskey	4589	4.085421660492482	4.085250895162485
0140502114	Arrow to the Sun	Gerald McDermott	5641	3.8952313419606455	3.8967979646365896
0140502181	Dandelion	Don Freeman	813	4.0344403444034445	4.036535535506546
0140502424	My Cat Likes to Hide in Boxes	Eve Sutton, Lynley Dodd (Illustrator)	902	4.232815964523281	4.224089075112757
0140502750	Journey Cake, Ho!	Ruth Sawyer, Robert McCloskey	405	3.925925925925926	3.942043085909122
0140502777	Andy and the Lion	James Daugherty	2310	4.02987012987013	4.030735707820693
0140502874	Lentil	Robert McCloskey	4158	4.128427128427129	4.127717256217849
0140502882	Norman the Doorman	Don Freeman	382	4.104712041884817	4.100608198507771
0140503013	Burglar Bill	Janet Ahlberg, Allan Ahlberg	3792	4.216244725738397	4.214300650736496
0140503064	John Brown, Rose and the Midnight Cat	Jenny Wagner, Ron Brooks (Illustrator)	1027	4.161635832521909	4.157291636257254
0140503218	Salt Hands	Jane Chelsea Aragón, Ted Rand (Illustrator)	56	4.017857142857143	4.0426764611407275
0140503250	Just Me	Marie Hall Ets	234	3.8034188034188032	3.8511452757022084
0140503285	A Rainbow of My Own	Don Freeman	537	3.7802607076350094	3.805406117284814
0140503447	Christmas in Noisy Village	Astrid Lindgren, Ilon Wikland (Illustrator), Florence Lamborn (Translator)	960	4.180208333333334	4.17463845319503
0140503854	The Baby's Catalogue	Janet Ahlberg, Allan Ahlberg	596	3.8976510067114094	3.911241513022203
