isbn	title	author	rating_eb	scaled_eb	scaled_norm
1368011055	Instructions Not Included: How a Team of Women Coded the Future	Tami Lewis Brown, Debbie Loren Dunn, Chelsea Beck (Illustrations)	4.033334818695199	3.132783519180169	2.8968003368069164
1368019013	Because	Mo Willems, Amber Ren (Illustrator)	4.267720476277125	3.6417358769259347	3.5952369522810605
1368020046	The Perfect Seat	Minh Lê, Gus Gordon (Author) (Illustrator)	3.7866053962027615	2.5970275237055542	2.3487786033224993
1368024572	I Lost My Tooth!	Mo Willems	4.010044652829318	3.082210523579589	2.842081891488569
1368024602	Thunder Trucks	Cheryl B. Klein (Author), Katy Beebe (Author), Mike Boldt (Author) (Illustrator)	3.8338816094273613	2.6996845737750164	2.4446233347823494
1368036899	The Book Hog	Greg Pizzoli	4.134585076292024	3.352641499646649	3.21569579345415
1368046452	The Pigeon Has to Go to School	Mo Willems	4.432133121556213	3.998746644228374	4.043483960675992
1368052762	Swim Swim Sink	Jenn Harney	4.14407555505253	3.373249422465508	3.2469950057999615
1387460781	God's Little Critters: The Good Listener	Allison Holmes	4.104964566012464	3.2883225959221534	3.1182575100795575
1400065585	Amazing Peace: A Christmas Poem	Maya Angelou, Lou Fancher (Illustrator), Steve Johnson (Illustrator)	4.150550956423081	3.387310311808706	3.265539703382184
1400071755	God Gave Us Christmas	Lisa Tawn Bergren (Author), David Hohn (Illustrator)	4.35288483594621	3.8266644348277272	3.826502754762929
1400304725	Jingle Cats	Michael McDermott Parker	3.8891370471516713	2.819667961829518	2.5652076113012274
1400317150	Gabby, God's Little Angel	Sheila Walsh (Author)	4.230077355697665	3.5599964259310384	3.483906433979452
140031805X	Gabby's Stick-to-It Day: A Story About Never Giving Up	Sheila Walsh (Author)	4.173839973873366	3.4378808137036936	3.3294184091280634
1400318084	The Pine Tree Parable	Liz Curtis Higgs (Author), Nancy Munger (Illustrator)	4.236856874416081	3.5747176852082343	3.5043897375319566
1401205127	Justice League Unlimited Volume 1: United They Stand	Adam Beechen, Paul,D. Storrie, Ethen Beavers (Illustrator), Walden Wong (Illustrator), Mike McAvennie, Carlo Barberi (Illustrator), Bill Williams (Author), Mike Baron (Author) , more…Stephan Nilson, Jason Hall, James Peaty, Matteo Casali, Gordon Purcell (Illustrator), Rick Burchett (Illustrator), Leigh Gallagher (Illustrator), Sanford Greene (Illustrator), Dave Santana (Illustrator), Scott Cohn (Illustrator) …less	3.8340694961688313	2.7000925569299876	2.444873039789992
