Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
GMOH,3043,N,M,STEWARTIA-B,N,,09Sep1985,9,,CB,DUKE PRIM,2,124,08May1985,5,3004,STEWARTIA,GMOH,12Oct1984,0.57,2007,ELKWOOD,GMOH,26Jan1980,5.28,09Sep1985,0.00,,,0.00,
GMOH,3044,N,M,CALABASH,N,,10Sep1985,9,,CB,DUKE PRIM,1,124,09May1985,5,2018,COTTONWOOD,GMOH,26Jan1980,5.29,1098,POPLAR,GMOH,12Oct1981,3.58,,,,1.10,1.10,
GMOH,305,N,M,BUFFALO BLUE,N,,09Mar1966,3,U,UNK,UNKNOWN,,124,05Nov1965,11,,,,,,,,,,,28Dec1968,2.81,,,2.81,1
GMOH,3051,N,ND,SARVISBERRY-A,N,,11Nov1985,11,,CB,DUKE PRIM,1,124,10Jul1985,7,2082,SARVISBERRY,GMOH,17May1984,1.15,2045,CORNEL,GMOH,04Jun1983,2.10,11Nov1985,0.00,,,0.00,
GMOH,3052,N,ND,PUSSYWILLOW-C,N,,13Nov1985,11,,CB,DUKE PRIM,1,124,12Jul1985,7,1092,PUSSYWILLOW,GMOH,08Mar1980,5.35,1091,LIGUSTRUM,GMOH,08Mar1980,5.35,13Nov1985,0.00,,,0.00,
GMOH,3053,N,F,BUROAK,N,,18Nov1985,11,,CB,DUKE PRIM,1,124,17Jul1985,7,1096,BIRCH,GMOH,08Mar1980,5.36,1095,WAHOO,GMOH,08Mar1980,5.36,,,,2.36,2.36,2
GMOH,3054,N,M,HICKORY,N,,30Nov1985,11,,CB,DUKE PRIM,2,124,29Jul1985,7,1090,HAZEL,GMOH,08Mar1980,5.39,2041,SORRELTREE,GMOH,11May1981,4.22,23Dec1985,0.06,,,0.06,
GMOH,3055,N,F,HOPTREE,N,,30Nov1985,11,,CB,DUKE PRIM,2,124,29Jul1985,7,1090,HAZEL,GMOH,08Mar1980,5.39,2041,SORRELTREE,GMOH,11May1981,4.22,,,,1.93,1.93,2
GMOH,3057,N,ND,GINKO-A,N,,16Dec1985,12,,CB,DUKE PRIM,1,124,14Aug1985,8,2062,GINKO,GMOH,31Dec1983,1.62,2045,CORNEL,GMOH,04Jun1983,2.20,17Dec1985,0.00,,,0.00,
GMOH,3058,N,M,SAGUARO,N,,01Jan1986,1,,CB,DUKE PRIM,2,124,30Aug1985,8,1067,SWEETBAY,GMOH,16Jan1980,5.62,1089,BUCKEYE,GMOH,08Mar1980,5.48,,,,3.32,3.32,6
GMOH,3059,N,F,SWEETWOOD,N,,01Jan1986,1,,CB,DUKE PRIM,2,124,30Aug1985,8,1067,SWEETBAY,GMOH,16Jan1980,5.62,1089,BUCKEYE,GMOH,08Mar1980,5.48,,,,1.25,1.25,
GMOH,306,N,F,SERENDIPITY,N,,09Mar1966,3,U,UNK,UNKNOWN,,124,05Nov1965,11,,,,,,,,,,,07Oct1968,2.58,,,2.58,1
