Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
CMED,7220,N,F,Emu,Y,452,04Aug2015,8,,CB,Duke Lemur Center,2,62,03Jun2015,6,7056,Motmot,CMED,16Jul2011,3.88,3639,Osprey,CMED,15Jul2004,10.89,,,3.51,,3.51,
CMED,7221,N,M,Ostrich,Y,453,04Aug2015,8,,CB,Duke Lemur Center,2,62,03Jun2015,6,7056,Motmot,CMED,16Jul2011,3.88,3639,Osprey,CMED,15Jul2004,10.89,,,3.51,,3.51,
DMAD,7222,N,F,Kambana,N,227,17May2015,5,,CB,Bristol Zoological Gardens,,165,03Dec2014,12,6820,Sabrina,DMAD,26Sep2003,11.19,oi_7906,,,,,,,3.73,,3.73,
CMED,7223,N,M,Dunlin,Y,454,30Aug2015,8,,CB,Duke Lemur Center,1,62,29Jun2015,6,3641,Sandpiper,CMED,15Jul2005,9.96,3642,Thrasher,CMED,15Jul2006,8.96,,,3.44,,3.44,
PCOQ,7224,N,M,Anastasia-B,N,295,09Sep2015,9,,CB,Maryland Zoo in Baltimore,,160,02Apr2015,4,6828,Anastasia,PCOQ,18Feb2004,11.13,6797,Gratian,PCOQ,14Apr2002,12.98,09Sep2015,0.00,,,0.00,
PCOQ,7225,N,F,Agrippina-D,N,296,14Sep2015,9,,CB,Sacramento Zoo,,160,07Apr2015,4,6885,Agrippina,PCOQ,07Feb2007,8.17,6819,Luther,PCOQ,29Aug2003,11.61,08Dec2015,0.23,,,0.23,
VRUB,7226,N,M,Dino,N,1753,31Mar2012,3,,CB,Jackson Zoological Park,,103,19Dec2011,12,6740,Moon II,VRUB,03Jun1998,13.55,oi_201035,,,,,,,,6.69,6.69,
VRUB,7227,N,M,Frank,N,1755,31Mar2012,3,,CB,Jackson Zoological Park,,103,19Dec2011,12,6740,Moon II,VRUB,03Jun1998,13.55,oi_201035,,,,,,,,6.51,6.51,
PCOQ,7228,N,F,Gemina,N,297,28Dec2015,12,,CB,Duke Lemur Center,1,160,21Jul2015,7,6900,Matilda,PCOQ,21Dec2007,7.59,6903,Martinianus,PCOQ,25Jan2008,7.49,,,3.11,,3.11,
PCOQ,7229,N,M,Faustina-E,N,298,09Apr2008,4,,CB,Saint Louis Zoological Park,,160,01Nov2007,11,6690,FAUSTINA,PCOQ,08Dec1996,10.90,6333,CONSTANTINE,PCOQ,28Dec1989,17.85,09Apr2008,0.00,,,0.00,
