event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,comments,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2259248714,true,2009-02-25 19:00:00.000,-122.87232363928565,56.56177698837909,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248715,true,2008-04-10 19:00:00.000,-123.03431412543692,56.93756044624941,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248716,true,2008-05-10 19:00:00.000,-122.94868134997733,56.93418578114074,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248717,true,2008-06-18 19:00:00.000,-123.43011212751473,56.85047378491475,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248718,true,2008-07-16 19:00:00.000,-123.46880613317406,56.846498439465215,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248719,true,2008-08-12 19:00:00.000,-123.2803278620374,56.89987899490965,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248720,true,2008-09-18 19:00:00.000,-123.47552669448656,56.79597469069912,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248721,true,2008-10-20 19:00:00.000,-123.46144678289173,56.79998944916162,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC13","GR_GC13","Mountain caribou in British Columbia"
2259248722,true,2008-04-10 19:00:00.000,-122.78198863606264,56.638106062463706,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248723,true,2008-05-10 19:00:00.000,-122.81141644396642,56.63487494665833,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248724,true,2008-06-18 19:00:00.000,-122.90486745698054,56.60621453355728,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248725,true,2008-07-16 19:00:00.000,-123.14861214750833,56.88374576559968,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248726,true,2008-08-12 19:00:00.000,-123.38536621195904,56.73380259932818,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248727,true,2008-09-18 19:00:00.000,-122.90976197189822,56.69181774561289,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC14","GR_GC14","Mountain caribou in British Columbia"
2259248728,true,2008-04-10 19:00:00.000,-122.82921513298615,56.61756142915402,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC15","GR_GC15","Mountain caribou in British Columbia"
