casualty_group,killed,injured,total_casualties
1161,NA,NA,3
1162,NA,NA,1
1163,0,9,9
1164,0,8,8
1165,0,0,0
1166,0,0,0
1167,0,0,0
1168,0,0,0
1169,0,0,0
1170,0,0,0
1171,0,0,0
1172,0,0,0
1173,0,0,0
1174,0,0,0
1175,0,0,0
1176,0,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0
1180,0,0,0
1181,0,0,0
1182,0,0,0
1183,0,55,55
1184,42,143,185
1185,0,0,0
1186,0,0,0
1187,0,0,0
1188,NA,NA,10
1189,0,0,0
1190,0,0,0
1191,1,14,15
1192,0,0,0
1193,0,0,0
1194,0,0,0
1195,0,0,0
1196,0,0,0
1197,0,0,0
1198,0,0,0
1199,0,0,0
1200,0,0,0
1201,0,0,0
1202,0,0,0
1203,11,35,46
1204,1,2,3
1205,0,4,4
1206,0,0,0
1207,0,0,0
1208,0,0,0
1209,0,0,0
1210,0,0,0
1211,0,0,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1215,0,0,0
1216,0,0,0
1217,0,0,0
1218,0,0,0
1219,0,0,0
1220,0,0,0
1221,0,0,0
1222,0,0,0
1223,0,0,0
1224,0,0,0
1225,0,0,0
1226,0,0,0
1227,NA,NA,5
1228,0,9,9
1229,0,0,0
1230,0,0,0
1231,2,9,11
1232,0,0,0
1233,0,0,0
1234,0,0,0
1235,0,0,0
1236,2,1,3
1237,0,0,0
1238,0,0,0
1239,0,0,0
1240,0,0,0
1241,5,16,21
1242,0,0,0
1243,NA,NA,2
1244,NA,NA,2
1245,0,0,0
1246,0,0,0
1247,4,9,13
1248,7,26,33
1249,0,0,0
1250,0,0,0
1251,0,0,0
1252,26,33,59
1253,9,19,28
1254,1,4,5
1255,0,0,0
1256,0,0,0
1257,0,0,0
1258,0,0,0
1259,0,0,0
1260,NA,NA,NA
1261,NA,NA,NA
1262,1,2,3
1263,0,0,0
1264,0,0,0
1265,0,0,0
1266,0,0,0
1267,0,0,0
1268,67,240,307
1269,1,0,1
1270,2,8,10
1271,1,8,9
1272,0,0,0
1273,4,30,34
1274,0,0,0
1275,0,0,0
1276,0,0,0
1277,0,0,0
1278,0,0,0
1279,0,0,0
1280,0,0,0
1281,0,0,0
1282,0,0,0
1283,0,0,0
1284,0,5,5
1285,0,0,0
1286,0,0,0
1287,0,0,0
1288,2,0,2
1289,0,0,0
1290,0,0,0
1291,1,10,11
1292,0,12,12
1293,NA,NA,1
1294,0,0,0
1295,0,0,0
1296,0,0,0
1297,0,0,0
1298,0,0,0
1299,0,0,0
1300,0,0,0
1301,0,0,0
1302,0,0,0
1303,2,0,2
1304,1,0,1
1305,0,0,0
1306,0,0,0
1307,0,1,1
1308,0,0,0
1309,0,0,0
1310,0,0,0
1311,0,0,0
1312,0,0,0
1313,0,0,0
1314,0,0,0
1315,0,0,0
1316,0,0,0
1317,0,0,0
1318,0,0,0
1319,0,0,0
1320,0,0,0
1321,1,0,1
1322,2,1,3
1323,0,1,1
1324,0,0,0
1325,0,0,0
1326,0,0,0
1327,0,0,0
1328,0,0,0
1329,0,0,0
1330,0,0,0
1331,0,0,0
1332,0,0,0
1333,0,0,0
1334,0,0,0
1335,0,5,5
1336,0,0,0
1337,0,0,0
1338,0,0,0
1339,0,0,0
1340,1,0,1
1341,0,0,0
1342,0,12,12
1343,0,0,0
1344,0,0,0
1345,0,0,0
1346,0,0,0
1347,0,0,0
1348,0,0,0
1349,0,0,0
1350,0,0,0
1351,0,0,0
1352,0,0,0
1353,0,0,0
1354,0,0,0
1355,0,0,0
1356,0,1,1
1357,0,1,1
1358,0,0,0
1359,1,4,5
1360,0,0,0
1361,0,0,0
1362,0,0,0
1363,1,1,2
1364,0,0,0
1365,0,0,0
1366,0,0,0
1367,0,0,0
1368,0,0,0
1369,0,0,0
1370,0,0,0
1371,0,0,0
1372,0,5,5
1373,0,0,0
1374,0,0,0
1375,0,0,0
1376,12,95,107
1377,12,NA,12
1378,6,8,14
1379,0,NA,NA
1380,1,9,10
1381,0,NA,NA
1382,0,NA,NA
1383,5,9,14
1384,3,6,9
1385,0,0,0
1386,0,0,0
1387,0,0,0
1388,0,0,0
1389,2,NA,2
1390,0,0,0
1391,0,0,0
1392,0,0,0
1393,0,0,0
1394,0,0,0
1395,5,0,5
1396,0,0,0
1397,0,0,0
1398,0,0,0
1399,0,0,0
1400,0,0,0
1401,0,0,0
1402,0,0,0
1403,0,0,0
1404,0,0,0
1405,0,0,0
1406,0,0,0
1407,0,0,0
1408,0,0,0
1409,0,0,0
1410,0,0,0
1411,0,0,0
1412,0,0,0
1413,0,0,0
